NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 용산구 후암동,339-4,339,4,(339-4),월세,34.38,202402,7,"16,000",5,4,1990,두텁바위로58길 7,202403~202603,신규,-,,
2,서울특별시 성동구 상왕십리동,750,750,0,노블리안,월세,30.81,202402,13,"3,000",65,13,2003,왕십리로 390,202403~202603,신규,-,,
3,서울특별시 성동구 상왕십리동,750,750,0,노블리안,전세,30.81,202402,5,"16,000",0,10,2003,왕십리로 390,202402~202602,갱신,-,"15,700",0
4,서울특별시 성동구 상왕십리동,750,750,0,노블리안,월세,25.74,202402,16,"1,000",70,10,2003,왕십리로 390,202403~202603,신규,-,,
5,서울특별시 성동구 상왕십리동,750,750,0,노블리안,월세,30.81,202402,21,"2,000",70,7,2003,왕십리로 390,202403~202503,갱신,-,"1,000",65
6,서울특별시 성동구 상왕십리동,750,750,0,노블리안,전세,30.81,202402,13,"16,500",0,8,2003,왕십리로 390,202403~202603,신규,-,,
7,서울특별시 성동구 상왕십리동,750,750,0,노블리안,전세,30.81,202402,26,"16,600",0,11,2003,왕십리로 390,202403~202603,갱신,-,"16,500",0
8,서울특별시 광진구 중곡동,190-3,190,3,위너스텔,월세,20.72,202402,16,500,53,3,2003,동일로 418,202402~202502,갱신,-,500,52
9,서울특별시 광진구 중곡동,41-33,41,33,비버리캐슬,월세,28.12,202402,14,"2,000",65,5,2004,능동로 366,202402~202602,신규,-,,
10,서울특별시 광진구 중곡동,190-3,190,3,위너스텔,월세,20.35,202402,8,500,52,4,2003,동일로 418,202402~202602,신규,-,,
11,서울특별시 광진구 중곡동,157-17,157,17,리아리움더언타워,월세,15.56,202402,23,500,75,3,2017,천호대로109길 9,202403~202503,갱신,-,500,70
12,서울특별시 광진구 중곡동,157-6,157,6,아스하임,월세,16.04,202402,3,"1,000",80,14,2019,천호대로 559,202402~202602,신규,-,,
13,서울특별시 광진구 중곡동,639-6,639,6,정익제이타워2차,월세,15.93,202402,25,"1,000",78,10,2020,천호대로 537,202403~202503,신규,-,,
14,서울특별시 광진구 중곡동,639-6,639,6,정익제이타워2차,월세,15.93,202402,7,"1,000",80,14,2020,천호대로 537,202402~202502,신규,-,,
15,서울특별시 동대문구 신설동,109-8,109,8,청광플러스원청계,월세,17.12,202402,8,"3,000",60,15,2020,청계천로 425,202402~202502,신규,-,,
16,서울특별시 동대문구 신설동,100-26,100,26,포레스트힐시티,월세,17.96,202402,18,"14,000",20,10,2018,청계천로 443,202403~202603,신규,-,,
17,서울특별시 동대문구 신설동,91-262,91,262,브릿지하임,전세,14.91,202402,7,"21,000",0,2,2022,왕산로 29,202403~202603,신규,-,,
18,서울특별시 동대문구 신설동,109-8,109,8,청광플러스원청계,전세,18.7,202402,7,"16,400",0,2,2020,청계천로 425,202403~202603,신규,-,,
19,서울특별시 동대문구 신설동,109-8,109,8,청광플러스원청계,전세,16.79,202402,23,"16,200",0,2,2020,청계천로 425,202403~202503,갱신,사용,"15,500",0
20,서울특별시 동대문구 신설동,Aug-97,97,8,동광동대문베르빌,월세,29.48,202402,1,"1,000",65,14,2004,천호대로 23,202402~202502,신규,-,,
21,서울특별시 동대문구 신설동,100-2,100,2,청광플러스원 청계Ⅱ,전세,17.76,202402,22,"18,400",0,2,2021,청계천로 439,202404~202604,신규,-,,
22,서울특별시 동대문구 신설동,Aug-97,97,8,동광동대문베르빌,월세,28.31,202402,26,"1,000",71,7,2004,천호대로 23,202402~202502,신규,-,,
